fips,state
01,ALABAMA
02,ALASKA
04,ARIZONA
05,ARKANSAS
06,CALIFORNIA
08,COLORADO
09,CONNECTICUT
10,DELAWARE
11,DC
12,FLORIDA
13,GEORGIA
15,HAWAII
16,IDAHO
17,ILLINOIS
18,INDIANA
19,IOWA
20,KANSAS
21,KENTUCKY
22,LOUISIANA
23,MAINE
24,MARYLAND
25,MASSACHUSETTS
26,MICHIGAN
27,MINNESOTA
28,MISSISSIPPI
29,MISSOURI
30,MONTANA
31,NEBRASKA
32,NEVADA
33,NEW
34,NEW
35,NEW
36,NEW
37,NORTH
38,NORTH
39,OHIO
40,OKLAHOMA
41,OREGON
42,PENNSYLVANIA
44,RHODE
45,SOUTH
46,SOUTH
47,TENNESSEE
48,TEXAS
49,UTAH
50,VERMONT
51,VIRGINIA
53,WASHINGTON
54,WEST
55,WISCONSIN
56,WYOMING
